file_path|parent_directory|classification|confidence|top_score|runner_up_score|score_margin|matched_rule_ids|explanation|review_required|size_bytes|date|mime
./.git/COMMIT_EDITMSG|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|18|2026-02-08|text/plain
./.git/HEAD|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|21|2026-02-08|text/plain
./.git/config|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|335|2026-02-08|text/plain
./.git/description|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|73|2026-02-08|text/plain
./.git/hooks/applypatch-msg.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|482|2026-02-08|text/plain
./.git/hooks/commit-msg.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|900|2026-02-08|text/plain
./.git/hooks/fsmonitor-watchman.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|4726|2026-02-08|text/x-perl
./.git/hooks/post-update.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|193|2026-02-08|text/plain
./.git/hooks/pre-applypatch.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|428|2026-02-08|text/plain
./.git/hooks/pre-commit.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|1653|2026-02-08|text/plain
./.git/hooks/pre-merge-commit.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|420|2026-02-08|text/plain
./.git/hooks/pre-push.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|1378|2026-02-08|text/plain
./.git/hooks/pre-rebase.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|4902|2026-02-08|text/plain
./.git/hooks/pre-receive.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|548|2026-02-08|text/plain
./.git/hooks/prepare-commit-msg.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|1496|2026-02-08|text/plain
./.git/hooks/push-to-checkout.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|2787|2026-02-08|text/plain
./.git/hooks/sendemail-validate.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|2312|2026-02-08|text/plain
./.git/hooks/update.sample|/.git/hooks|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|3654|2026-02-08|text/plain
./.git/index|/.git|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|433|2026-02-08|application/octet-stream
./.git/info/exclude|/.git/info|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|240|2026-02-08|text/plain
./.git/logs/HEAD|/.git/logs|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|539|2026-02-08|text/plain
./.git/logs/refs/heads/main|/.git/logs/refs/heads|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|539|2026-02-08|text/plain
./.git/logs/refs/remotes/origin/HEAD|/.git/logs/refs/remotes/origin|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|190|2026-02-08|text/plain
./.git/logs/refs/remotes/origin/main|/.git/logs/refs/remotes/origin|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|167|2026-02-08|text/plain
./.git/objects/01/90b0e2b9fe26771b2f1de001ae3a7601c250c3|/.git/objects/01|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|182|2026-02-08|application/zlib
./.git/objects/21/df08c5f8146c2b4967e58cee5076280251d354|/.git/objects/21|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|180|2026-02-08|application/zlib
./.git/objects/48/39f67ab15adad210c4aa126728e3716d8dbce5|/.git/objects/48|unknown / mixed|low|0|0|0||insufficient evidence: top score below minimum threshold|1|540|2026-02-08|application/zlib
